#S8-1
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB01-01,473126.5166,7029456.6170,330.1376,-26.856258609,116.729483125,330.1376,-2561216.6924,5085891.1196,-2864164.6997
SB01-02,473128.2940,7029460.3583,330.1376,-26.856224864,116.729501096,330.1376,-2561219.0474,5085891.8249,-2864161.3638
SB01-03,473129.5002,7029459.0341,330.1376,-26.856236843,116.729513210,330.1376,-2561219.8529,5085890.7479,-2864162.5480
SB01-04,473132.7773,7029459.8478,330.1376,-26.856229560,116.729546216,330.1376,-2561222.9467,5085889.5980,-2864161.8280
SB01-05,473131.9434,7029461.6189,330.1376,-26.856213553,116.729537860,330.1376,-2561222.5654,5085890.6872,-2864160.2456
SB01-06,473130.0623,7029461.1163,330.1376,-26.856218055,116.729518913,330.1376,-2561220.7822,5085891.3329,-2864160.6907
SB01-07,473129.7541,7029464.0229,330.1376,-26.856191806,116.729515873,330.1376,-2561221.1033,5085892.6423,-2864158.0958
SB01-08,473128.4572,7029462.1904,330.1376,-26.856208326,116.729502779,330.1376,-2561219.5691,5085892.4891,-2864159.7290
SB01-09,473126.6365,7029463.1123,330.1376,-26.856199968,116.729484471,330.1376,-2561218.1322,5085893.6812,-2864158.9026
SB01-10,473126.8886,7029459.3453,330.1376,-26.856233984,116.729486928,330.1376,-2561217.5843,5085892.0505,-2864162.2654
SB02-01,473129.8938,7029454.2033,330.1376,-26.856280467,116.729517069,330.1376,-2561219.2132,5085888.6250,-2864166.8604
SB02-02,473131.3839,7029452.2774,330.1376,-26.856297884,116.729532027,330.1376,-2561220.1489,5085887.1777,-2864168.5822
SB02-03,473131.4497,7029455.1396,330.1376,-26.856272043,116.729532751,330.1376,-2561220.7950,5085888.3006,-2864166.0277
SB02-04,473133.7639,7029452.9595,330.1376,-26.856291771,116.729555999,330.1376,-2561222.4144,5085886.3793,-2864167.9780
SB02-05,473135.3763,7029453.6509,330.1376,-26.856285559,116.729572245,330.1376,-2561223.9963,5085885.9309,-2864167.3639
SB02-06,473133.6261,7029455.4624,330.1376,-26.856269170,116.729554666,330.1376,-2561222.8050,5085887.4494,-2864165.7437
SB02-07,473135.2680,7029456.6189,330.1376,-26.856258761,116.729571219,330.1376,-2561224.5086,5085887.1749,-2864164.7147
SB02-08,473134.0038,7029457.9118,330.1376,-26.856247063,116.729558520,330.1376,-2561223.6448,5085888.2655,-2864163.5583
SB02-09,473132.1613,7029457.9966,330.1376,-26.856246262,116.729539975,330.1376,-2561222.0167,5085889.1303,-2864163.4791
