#S8-6
#Lat: -26.855106587
#Lon: 116.730025307
#HAE: 330.2901
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB01-01,244,473181.6133,7029564.7033,347.0106,-26.855281595,116.730041688,330.2095,-2561288.2996,5085909.8876,-2864068.1483,1.6280,-19.3921,-0.0806
SB01-02,189,473179.4358,7029568.2010,347.0323,-26.855249975,116.730019844,330.2312,-2561287.0812,5085912.2951,-2864065.0322,-0.5430,-15.8883,-0.0589
SB01-03,155,473181.1564,7029568.5263,347.0499,-26.855247071,116.730037171,330.2488,-2561288.6917,5085911.6644,-2864064.7531,1.1791,-15.5665,-0.0413
SB01-04,121,473182.2577,7029571.7470,347.0581,-26.855218013,116.730048326,330.2571,-2561290.3394,5085912.4714,-2864061.8843,2.2877,-12.3467,-0.0330
SB01-05,100,473180.2996,7029571.9650,347.0653,-26.855216007,116.730028619,330.2643,-2561288.6382,5085913.4478,-2864061.6892,0.3292,-12.1244,-0.0258
SB01-06,134,473179.7428,7029570.0902,347.0491,-26.855232924,116.730022975,330.2481,-2561287.7497,5085912.9309,-2864063.3542,-0.2319,-13.9989,-0.0421
SB01-07,113,473177.1235,7029571.4076,347.0511,-26.855220978,116.729996637,330.2502,-2561285.6816,5085914.6440,-2864062.1743,-2.8495,-12.6753,-0.0400
SB01-08,168,473177.9646,7029569.3419,347.0587,-26.855239645,116.730005059,330.2577,-2561286.0120,5085913.4389,-2864064.0231,-2.0124,-14.7438,-0.0324
SB01-09,202,473176.2080,7029568.2740,347.0584,-26.855249253,116.729987354,330.2574,-2561284.2239,5085913.8006,-2864064.9727,-3.7721,-15.8083,-0.0328
SB01-10,223,473179.5250,7029566.4856,347.0313,-26.855265464,116.730020705,330.2303,-2561286.8085,5085911.5634,-2864066.5630,-0.4574,-17.6046,-0.0598
SB02-01,231,473185.4989,7029566.2697,346.9931,-26.855267528,116.730080835,330.1920,-2561292.0842,5085908.7527,-2864066.7497,5.5187,-17.8333,-0.0981
SB02-02,203,473187.9245,7029566.5085,347.0248,-26.855265418,116.730105256,330.2237,-2561294.3122,5085907.7805,-2864066.5555,7.9459,-17.5996,-0.0664
SB02-03,197,473185.5261,7029568.0792,347.0048,-26.855251191,116.730081147,330.2038,-2561292.4844,5085909.4784,-2864065.1400,5.5498,-16.0231,-0.0863
SB02-04,218,473188.5647,7029568.9294,347.0289,-26.855243573,116.730111752,330.2279,-2561295.3822,5085908.4701,-2864064.3979,8.5914,-15.1790,-0.0622
SB02-05,184,473188.8736,7029570.6107,347.0522,-26.855228399,116.730114897,330.2512,-2561296.0125,5085909.0264,-2864062.9084,8.9041,-13.4976,-0.0389
SB02-06,163,473186.3887,7029570.1271,347.0409,-26.855232717,116.730089874,330.2399,-2561293.6895,5085909.9430,-2864063.3301,6.4171,-13.9761,-0.0502
SB02-07,129,473186.2957,7029572.1055,347.0498,-26.855214854,116.730088981,330.2489,-2561294.0160,5085910.7887,-2864061.5683,6.3283,-11.9967,-0.0413
SB02-08,108,473184.5051,7029571.7271,347.0535,-26.855218236,116.730070948,330.2525,-2561292.3406,5085911.4465,-2864061.9042,4.5361,-12.3714,-0.0376
SB02-09,142,473183.4696,7029570.2241,347.0425,-26.855231786,116.730060492,330.2415,-2561291.1030,5085911.2993,-2864063.2388,3.4969,-13.8729,-0.0486
SB02-10,176,473183.6484,7029567.9634,347.0126,-26.855252201,116.730062244,330.2116,-2561290.7868,5085910.2845,-2864065.2434,3.6710,-16.1350,-0.0786
SB02-11,210,473181.6623,7029566.5508,347.0171,-26.855264917,116.730042221,330.2160,-2561288.7250,5085910.6147,-2864066.5025,1.6810,-17.5440,-0.0741
SB03-01,239,473190.7714,7029569.7298,347.0291,-26.855236389,116.730133982,330.2281,-2561297.5174,5085907.7977,-2864063.6878,10.8009,-14.3829,-0.0620
SB03-02,205,473190.5940,7029571.5256,347.0300,-26.855220172,116.730132235,330.2290,-2561297.7278,5085908.6015,-2864062.0850,10.6272,-12.5860,-0.0611
SB03-03,226,473194.2282,7029571.6798,347.0715,-26.855218850,116.730168821,330.2705,-2561301.0218,5085907.0581,-2864061.9730,14.2634,-12.4394,-0.0197
